NUMFRAMEWORKS,NUMPLATFORM,NUMDATABASE,numberlang,FormalEducation,UndergradMajor,CompanySize,YearsCodingProf,ConvertedSalary,HoursComputer,Gender,RaceEthnicity,Age,SalaryRange
2,6,2,12,3,,5,13,95000,8,Male,White or of European descent,40,3
3,10,7,5,1,STEM,750,7,85000,12,Male,White or of European descent,30,3
,,3,7,3,STEM,20000,4,52000,12,Male,Other,30,2
1,2,3,10,3,NON-STEM,60,19,135000,12,Male,White or of European descent,40,4
2,4,5,8,4,NON-STEM,300,10,105000,12,Male,White or of European descent,30,4
,1,,3,4,NON-STEM,7500,1,85000,8,Non-Male,White or of European descent,30,3
1,,,6,3,STEM,20000,1,74000,14,Non-Male,White or of European descent,21,2
2,1,2,2,4,NON-STEM,60,1,95000,12,Male,White or of European descent,50,3
3,,2,6,3,NON-STEM,60,4,90000,8,Non-Male,White or of European descent,30,3
1,,4,2,4,NON-STEM,20000,4,110000,8,Male,White or of European descent,30,4
1,,2,7,3,STEM,20000,7,87000,12,Male,,30,3
,3,,5,3,STEM,20000,1,80500,8,Male,White or of European descent,30,3
1,2,1,8,4,STEM,3000,13,125000,12,Male,White or of European descent,40,4
1,2,5,10,3,,20000,13,75000,14,Male,White or of European descent,40,2
,6,3,6,3,STEM,20000,4,140000,8,Male,East Asian,50,4
1,,3,6,1,STEM,300,4,90000,12,Male,White or of European descent,40,3
2,2,2,5,3,STEM,60,1,55000,12,Male,White or of European descent,21,2
3,3,5,7,4,STEM,300,7,110000,12,Male,Hispanic or Latino/Latina,40,4
3,3,3,5,1,STEM,20000,25,75000,14,Male,,50,2
1,5,3,7,1,STEM,5,7,100000,12,Male,White or of European descent,30,3
,1,3,3,1,STEM,15,22,145000,12,Male,White or of European descent,40,4
,,,8,3,STEM,60,1,50000,12,,,,1
,1,1,4,4,STEM,750,10,100000,8,Male,White or of European descent,40,3
6,11,12,12,2,STEM,60,28,150000,12,Male,White or of European descent,50,4
1,1,1,6,3,STEM,3000,4,53000,12,Non-Male,Hispanic or Latino/Latina,30,2
3,4,5,11,3,STEM,60,16,150000,12,Non-Male,White or of European descent,40,4
,2,2,6,3,STEM,300,7,60000,8,Non-Male,White or of European descent,40,2
1,1,2,5,4,STEM,300,10,145000,12,Male,White or of European descent,30,4
2,5,6,7,3,,300,10,150000,8,Male,White or of European descent,40,4
,1,2,7,3,STEM,3000,10,108200,8,Male,White or of European descent,30,4
,,,2,4,STEM,300,4,45000,14,Male,White or of European descent,30,1
3,6,4,8,4,STEM,7500,30,100000,12,Male,White or of European descent,60,3
4,5,4,9,3,STEM,60,22,130000,12,Male,White or of European descent,50,4
1,1,3,8,4,STEM,20000,7,130000,12,Male,Hispanic or Latino/Latina,30,4
1,1,1,6,3,STEM,3000,13,97202,8,Male,White or of European descent,40,3
2,4,6,8,3,STEM,60,7,135000,12,Male,White or of European descent,30,4
1,1,1,10,3,STEM,750,7,73000,8,Male,White or of European descent,30,2
,1,2,6,1,,750,4,80000,12,Male,White or of European descent,21,3
,1,4,5,4,NON-STEM,60,1,80000,8,Male,White or of European descent,40,3
1,5,8,11,1,STEM,300,16,200000,12,Male,White or of European descent,40,5
2,3,3,9,3,STEM,20000,28,150000,8,Male,White or of European descent,50,4
,4,2,7,4,NON-STEM,60,16,150000,12,Non-Male,White or of European descent,40,4
3,4,4,7,1,STEM,15,4,58000,8,Male,White or of European descent,40,2
2,1,2,5,1,NON-STEM,300,4,55000,12,Non-Male,White or of European descent,30,2
5,7,3,10,1,,20000,1,62400,12,Male,White or of European descent,30,2
1,2,1,4,4,STEM,60,10,140000,12,Male,White or of European descent,30,4
,1,,1,4,STEM,20000,19,67000,8,Male,White or of European descent,40,2
,2,1,7,3,STEM,750,4,95000,12,Male,White or of European descent,40,3
6,5,8,11,1,STEM,5,16,130000,14,Male,White or of European descent,40,4
,1,1,1,3,STEM,15,10,160000,12,Male,White or of European descent,40,5
1,3,4,6,3,STEM,750,4,75000,8,Male,East Asian,30,2
,2,1,7,3,STEM,7500,30,98000,8,Male,White or of European descent,50,3
